"FACULTY_ID","FACULTY_NAME","HIRE_DATE","EMAIL","PHONE_NUMBER","JOB_ID"
100,"Steven King","2013-06-17T00:00:00Z","SKING","515.123.4567","FA_ST"
101,"Neena Kochhar","2015-09-21T00:00:00Z","NKOCHHAR","515.123.4568","FA_ST"
102,"Lex De Haan","2011-01-13T00:00:00Z","LDEHAAN","515.123.4569","FA_AF"
103,"Alexander Hunold","2014-01-03T00:00:00Z","AHUNOLD","590.423.4567","FA_AF"
104,"Bruce Ernst","2012-05-21T00:00:00Z","BERNST","590.423.4568","FA_SF"
105,"David Austin","2015-06-25T00:00:00Z","DAUSTIN","590.423.4569","FA_SF"
106,"Valli Pataballa","2011-02-05T00:00:00Z","VPATABAL","590.423.4560","FA_PF"
107,"Diana Lorentz","2010-02-07T00:00:00Z","DLORENTZ","590.423.5567","FA_PF"
108,"Nancy Greenberg","2012-08-17T00:00:00Z","NGREENBE","515.124.4569","FA_HOD"
109,"Daniel Faviet","2012-08-16T00:00:00Z","DFAVIET","515.124.4169","FA_HOD"
